nClass 	IR	RMP	RH	ST	DTFS	SA	SD	fAHP
2	121,4767361	-74,45	170	-22,23	58,38	55,29	6	-0,212994772
2	178,2990646	-78,45	110	-28,51	44,29	61,15	8,61	-0,218473451
2	87,09184647	-78,19	190	-31,47	342,24	83,7	3,48	-0,220595575
2	134,6799946	-74,22	120	-26,56	124,58	57,8	6,27	-0,220595788
2	68,63371372	-84,96	190	-29,29	86,2	52,73	5,92	-0,237826541
2	253,5408974	-75,5	80	-19,7	209,37	47,52	12,49	-0,240631164
2	105,4950142	-78,86	170	-30,91	141,68	71,16	3,87	-0,246694936
2	83,48300934	-79,82	190	-28,99	136,12	77,91	3,84	-0,276172868
2	224,4338799	-83,18	60	-26,57	100,82	59,44	8,78	-0,340306423
2	162,7193069	-88,63	190	-8,63	273,57	40,7	3,87	-0,38072094
1	42,66284369	-81,56	185	-46,415	318,81	76,61437988	3,850006104	-0,241969164
1	156,486851	-82,475	85	-38,88	437,995	58,62426758	8,849990845	-0,33674569
1	81,63871467	-71,505	110	-42,65	382,92	78,70483398	3,925003052	-0,341160416
1	136,4330947	-82,87	130	-38,555	239,66	68,80187988	5,575012207	-0,376816841
1	102,7714878	-77,15	130	-36,36	501,065	65,20080566	4	-0,424197689
1	513,1269217	-77,35	55	-39,32	274,435	50,33874512	8,475006104	-0,502767886
1	163,3140326	-82,78	135	-40,97	358,73	69,79370117	3,524993896	-0,508892436
1	125,0793695	-72,205	85	-50,34	235,08	68,9239502	3,999984741	-0,531073783
1	225,7698357	-81,055	75	-32,79	380,045	51,4831543	9,824996948	-0,53351092
1	165,5376554	-89,235	155	-38,62	504,935	66,00952148	5,024993896	-0,59262872
1	141,6581452	-88,47	150	-39,995	378,5	73,34899902	4,125	-0,612023759
1	112,0197952	-84,99	140	-39,23	391,76	76,24816895	3,300003052	-0,641185284
1	414,586103	-66,865	75	-35,645	310,425	65,00244141	5,175003052	-0,642733432
1	108,1116825	-84,975	200	-35,095	453,02	65,23132324	3,049987793	-0,757087455
1	147,5267887	-83,115	140	-40,1	429,42	74,27978516	3,125015259	-0,92703287
1	331,570971	-80,645	80	-37,14	367,87	52,94799805	3,75	-1,956503383
